census_tract,ct_population,ct_prct_white,ct_prct_black,ct_prct_asian,ct_prct_hispanic,ct_prct_age_5_9,ct_prct_age_10_14,ct_prct_age_15_19,ct_prct_age_20_24,ct_prct_age_25_34,ct_prct_age_35_44,ct_prct_age_45_54,ct_prct_age_55_59,ct_prct_age_60_64,ct_prct_age_65_74,ct_prct_age_75_84,ct_prct_age_85_plus,ct_median_inc,ct_prct_inc_less_than_10,ct_prct_inc_10_15,ct_prct_inc_15_25,ct_prct_inc_25_35,ct_prct_inc_35_50,ct_prct_inc_50_75,ct_prct_inc_75_100,ct_prct_inc_100_150,ct_prct_inc_150_200,ct_prct_inc_200_plus,ct_prct_less_than_9th,ct_prct_9th_12th,ct_prct_high_school,ct_prct_some_college,ct_prct_associates,ct_prct_bachelors,ct_prct_grad,ct_prct_high_school_plus,ct_prct_bachelors_plus,ct_prct_occupied,ct_prct_vacant,ct_prct_home_owner_vacancy,ct_prct_renter_vacancy,ct_prct_home_owner_occupied,ct_prct_renter_occupied
51001090100,2899,0.931010693342532,0.004139358399448086,0.02138668506381511,0.03173508106243532,0.02173163159710245,0.05553639185926181,0.025526043463263193,0.03139013452914798,0.03345981372887202,0.07899275612280096,0.0886512590548465,0.12969989651604003,0.144877543980683,0.07105898585719214,0.21352190410486374,0.08727147292169714,52848,0.11241065627030539,0,0.13710201429499674,0.07602339181286549,0.1332033788174139,0.19103313840155944,0.11760883690708251,0.08706952566601689,0.08641975308641975,0.05912930474333983,0.014090343970161625,0.11396601740571902,0.2946539577289681,0.1740571902196436,0.12639867384997927,0.11603812681309573,0.16079569001243266,0.8719436386241194,0.2768338168255284,0.3463096309630963,0.6536903690369037,0.057999999999999996,0.095,0.7368421052631579,0.2631578947368421
51001090200,5771,0.6879223704730549,0.2850459192514296,0.02235314503552244,0.05319701958066193,0.07139143995841275,0.043146768324380524,0.013342574943683938,0.0369086813377231,0.05094437705770231,0.09894299081614971,0.10258187489169988,0.13949055622942297,0.05492982152140011,0.10084907295096171,0.15699185583087852,0.08508057529024432,40779,0.0430793777423215,0.043877143996808934,0.15077782209812524,0.1767052253689669,0.19226166733147187,0.18308735540486637,0.07499002792181891,0.10331072995612285,0.03191065017949741,0,0.030711444984533806,0.1137870083959346,0.450287229341582,0.12748563853292091,0.06981882456915599,0.15311533362792754,0.0547945205479452,0.8555015466195316,0.20790985417587274,0.580324074074074,0.41967592592592595,0.1,0,0.7100119664938173,0.2899880335061827
51001090300,2439,0.7728577285772857,0.18737187371873718,0.009020090200902008,0.0910209102091021,0.02050020500205002,0.056990569905699055,0.09061090610906108,0.07257072570725707,0.08364083640836409,0.10209102091020911,0.11849118491184912,0.11234112341123412,0.0963509635096351,0.07421074210742107,0.11808118081180811,0.04018040180401804,35833,0.10495049504950495,0.04554455445544554,0.12376237623762376,0.21584158415841584,0.12673267326732673,0.11485148514851486,0.10297029702970296,0.05247524752475247,0.10495049504950495,0.007920792079207921,0.06371359223300971,0.12742718446601942,0.44720873786407767,0.19963592233009708,0.08009708737864078,0.05218446601941747,0.029733009708737865,0.8088592233009708,0.08191747572815535,0.7853810264385692,0.21461897356143078,0.017,0,0.6762376237623763,0.3237623762376238
51001090400,6603,0.582916855974557,0.3928517340602756,0,0.23186430410419506,0.10343783128880812,0.0710283204603968,0.07133121308496138,0.05876116916553082,0.059064061790095414,0.15265788278055428,0.12055126457670756,0.08799030743601394,0.06875662577616234,0.04967439042859306,0.07784340451310011,0.0557322429198849,43558,0.047896150402864816,0.0684870188003581,0.18039391226499552,0.1369740376007162,0.09400179051029543,0.18173679498657117,0.1665174574753805,0.08952551477170993,0.01387645478961504,0.020590868397493287,0.1877677296525464,0.14659685863874344,0.3362684435982865,0.18253212755830556,0.03022370299857211,0.07710613993336507,0.039504997620180865,0.6656354117087101,0.11661113755354593,0.7844101123595506,0.21558988764044945,0.022000000000000002,0.001,0.5004476275738585,0.4995523724261415
51001090500,2526,0.6642913697545526,0.27790973871733965,0.0023752969121140144,0.12311955661124308,0.022565320665083134,0.10055423594615993,0.06413301662707839,0.047505938242280284,0.03483768804433888,0.11955661124307206,0.10174188440221694,0.16706254948535235,0.09065716547901821,0.08749010292953285,0.08630245447347586,0.060174188440221696,46154,0.1069364161849711,0.0394990366088632,0.1724470134874759,0.07514450867052024,0.14739884393063585,0.1859344894026975,0.08188824662813102,0.15895953757225434,0.030828516377649325,9.633911368015414e-4,0.12303523035230353,0.13116531165311654,0.4384823848238482,0.11978319783197831,0.07154471544715447,0.08184281842818428,0.03414634146341464,0.7457994579945799,0.11598915989159891,0.7532656023222061,0.2467343976777939,0.008,0.015,0.626204238921002,0.3737957610789981
51001090600,3726,0.8454106280193237,0.143317230273752,0.007246376811594203,0.03730542136339238,0.016908212560386472,0.030327428878153515,0.04804079441760601,0.05099302200751476,0.012345679012345678,0.06816961889425657,0.08856682769726248,0.09205582393988192,0.11943102522812668,0.11137949543746645,0.21604938271604937,0.09178743961352658,53060,0.03542673107890499,0.10574342458400429,0.12989801395598496,0.06870638754696726,0.11969940955448202,0.20772946859903382,0.09178743961352658,0.13043478260869565,0.04186795491143317,0.06870638754696726,0.021052631578947368,0.0912280701754386,0.29218500797448166,0.17926634768740032,0.0963317384370016,0.16937799043062202,0.15055821371610845,0.887719298245614,0.31993620414673046,0.7263157894736842,0.2736842105263158,0.01,0.067,0.7901234567901234,0.20987654320987653
51001090700,5280,0.5929924242424243,0.36742424242424243,0.0035984848484848487,0.03428030303030303,0.05738636363636364,0.06306818181818181,0.11117424242424243,0.06553030303030304,0.03901515151515152,0.09924242424242424,0.12329545454545454,0.12973484848484848,0.07102272727272728,0.07007575757575757,0.1125,0.04337121212121212,54643,0.039783889980353634,0.03781925343811395,0.07416502946954813,0.1856581532416503,0.14096267190569745,0.1719056974459725,0.23477406679764243,0.06335952848722987,0.021611001964636542,0.029960707269155205,0.020827389443651926,0.11069900142653352,0.357774607703281,0.20114122681883023,0.11412268188302425,0.07874465049928674,0.1166904422253923,0.8684736091298145,0.19543509272467904,0.7824750192159877,0.2175249807840123,0.015,0.02,0.6316306483300589,0.36836935166994106
51001090800,3429,0.5599300087489064,0.4219889180519102,0,0.04257801108194809,0.07319918343540391,0.06561679790026247,0.04432779235928842,0.04636920384951881,0.11927675707203267,0.0968212306794984,0.06532516768737241,0.11606882473024205,0.08136482939632546,0.08078156897054535,0.12481773111694372,0.04461942257217848,42225,0.07597027250206441,0.033856317093311314,0.11725846407927333,0.152766308835673,0.16432700247729148,0.1907514450867052,0.15194054500412882,0.06275805119735756,0.027250206440957887,0.023121387283236993,0.05642633228840126,0.12046574115539632,0.3381101656963726,0.1961486789072996,0.09180474697716078,0.13703537841468877,0.0600089565606807,0.8231079265562025,0.19704433497536947,0.6617486338797814,0.33825136612021856,0.013999999999999999,0.027000000000000003,0.7052023121387283,0.2947976878612717
51001980100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51001980200,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51001990100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51001990200,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51003010100,5102,0.9108192865542925,0.07036456291650334,0.007056056448451587,0.01568012544100353,0.03449627597020776,0.06487651901215209,0.04566836534692278,0.06056448451587613,0.026068208545668364,0.06056448451587613,0.11093688749509996,0.13759310074480596,0.10035280282242258,0.10956487651901216,0.1764014112112897,0.0697765582124657,93031,0.01335240820219361,0.03671912255603243,0.06485455412494039,0.07200762994754412,0.08583690987124463,0.14639961850262279,0.11063423938960419,0.15593705293276108,0.12970910824988077,0.18454935622317598,0.03188775510204082,0.042346938775510205,0.19260204081632654,0.1846938775510204,0.07295918367346939,0.26632653061224487,0.20918367346938777,0.925765306122449,0.47551020408163264,0.9165209790209791,0.08347902097902098,0,0,0.8216499761564139,0.1783500238435861
51003010201,4807,0.9003536509257333,0.04493447056376118,0.024131474932390266,0.0588724776367797,0.04888703973372165,0.04555856043270231,0.08945288121489495,0.07676305387975868,0.04056584148117329,0.062408986894112756,0.14312460994383192,0.17599334304139796,0.08446016226336593,0.05346369877262326,0.11504056584148117,0.05304763885999584,83281,0.015143320713899405,0.005949161709031909,0.058409951325040566,0.019469983775013522,0.13845321795565171,0.1979448350459708,0.18442401297998917,0.20497566252028124,0.08328826392644673,0.09194159004867496,0.010419767788032152,0.041679071152128606,0.18666269723131884,0.1878535278356654,0.06936588270318547,0.26525751711818996,0.2387615361714796,0.9479011610598392,0.5040190532896696,0.9268170426065163,0.07318295739348371,0.013000000000000001,0,0.9026500811249324,0.09734991887506761
51003010202,3101,0.9119638826185101,0.022250886810706225,0.03160270880361174,0.012576588197355692,0.045146726862302484,0.03740728797162206,0.060303128023218314,0.08771364076104482,0.029345372460496615,0.06256046436633345,0.10480490164463076,0.1489841986455982,0.09126088358594002,0.09609803289261529,0.14414704933892292,0.07287971622057401,125398,0.031223628691983123,0.026160337552742614,0.030379746835443037,0.015189873417721518,0.039662447257383965,0.1029535864978903,0.10042194092827005,0.24641350210970464,0.11645569620253164,0.2911392405063291,0.014814814814814815,0.026143790849673203,0.10021786492374728,0.12941176470588237,0.034858387799564274,0.27058823529411763,0.42396514161220045,0.9590413943355119,0.6945533769063181,0.8719646799116998,0.1280353200883002,0,0,0.9232067510548523,0.07679324894514768
51003010300,8515,0.8402818555490311,0.044979448032883146,0.06447445684086905,0.05648854961832061,0.08103347034644745,0.0735173223722842,0.06423957721667645,0.06189078097475044,0.027950675278919555,0.11743981209630065,0.147269524368761,0.15948326482677627,0.06658837345860247,0.0544920728126835,0.06635349383440986,0.05002935995302407,88560,0.044177974124329444,0.02903124013884506,0.024613442726412117,0.035973493215525405,0.12969390975071,0.1745029977911013,0.15872514988955508,0.19312085831492584,0.12622278321236982,0.08393815083622594,0.030066247664345166,0.052318668252080855,0.16816714795311705,0.17156446407338202,0.04637336504161712,0.2875828095804315,0.24392729743502634,0.917615084083574,0.5315101070154578,0.9479509422674245,0.05204905773257553,0,0.079,0.6992742189965289,0.30072578100347114
51003010401,4175,0.8912574850299401,0.09437125748502995,0,0.00910179640718563,0.07329341317365269,0.04383233532934132,0.058682634730538925,0.034011976047904194,0.03592814371257485,0.1192814371257485,0.07377245508982036,0.13652694610778443,0.1089820359281437,0.07616766467065868,0.13988023952095807,0.09053892215568862,76452,0.01991150442477876,0.014933628318584071,0.07743362831858407,0.06526548672566372,0.1454646017699115,0.1670353982300885,0.11338495575221239,0.15376106194690264,0.07356194690265487,0.16924778761061948,0.024134645919339472,0.06764052080025405,0.23054938075579548,0.1791044776119403,0.04795173070816132,0.25468402667513496,0.1959352175293744,0.9082248332804065,0.4506192442045094,0.8460458586803931,0.1539541413196069,0.013999999999999999,0.036000000000000004,0.7433628318584071,0.25663716814159293
51003010402,3000,0.8723333333333333,0.021666666666666667,0.035333333333333335,0.005,0.043,0.029333333333333333,0.039,0.034666666666666665,0.03333333333333333,0.068,0.08166666666666667,0.159,0.11566666666666667,0.073,0.19833333333333333,0.10866666666666666,99800,0,0.03566229985443959,0.005094614264919942,0.07641921397379912,0.08296943231441048,0.12008733624454149,0.1812227074235808,0.1586608442503639,0.09970887918486172,0.24017467248908297,0.021933387489845652,0.05564581640942323,0.15272136474411047,0.11291632818846466,0.039805036555645816,0.33265637692932576,0.2843216896831844,0.9224207961007311,0.6169780666125102,0.9087301587301587,0.09126984126984126,0.02,0.057999999999999996,0.9061135371179039,0.09388646288209607
51003010500,5492,0.8128186453022578,0.11416605972323379,0.03896576839038601,0.02057538237436271,0.05753823743627094,0.050254916241806266,0.05680990531682447,0.02458120903131828,0.030954115076474872,0.17771303714493808,0.10415149308084487,0.10579024034959941,0.04661325564457393,0.050254916241806266,0.1445739257101238,0.09504734158776403,78112,0.030113845023870732,0.009915534337128168,0.04737421961072347,0.09070877708409843,0.10356224752111641,0.20014689680499448,0.11457950789570327,0.17040029379361,0.09658464928387808,0.13661402864487698,0.03642306794303059,0.031053000233481204,0.1298155498482372,0.14709315900070044,0.024982488909642775,0.34438477702544945,0.2862479570394583,0.9325239318234883,0.6306327340649078,0.9389655172413793,0.06103448275862069,0,0.069,0.45795078957032687,0.5420492104296731
51003010601,6330,0.7156398104265402,0.19304897314375988,0.06840442338072669,0.032069510268562404,0.07124802527646129,0.05908372827804107,0.07140600315955767,0.016745655608214848,0.0995260663507109,0.10063191153238546,0.10268562401263823,0.0924170616113744,0.0759873617693523,0.08562401263823065,0.1009478672985782,0.06334913112164298,62500,0.07477341389728097,0.011329305135951661,0.14274924471299094,0.10762839879154079,0.09592145015105741,0.1216012084592145,0.10083081570996978,0.13330815709969787,0.1404833836858006,0.07137462235649547,0.031966643502432245,0.06485985638174659,0.12786657400972898,0.1890201528839472,0.06856613388927496,0.22237665045170257,0.2953439888811675,0.9031735001158212,0.51772063933287,0.9416785206258891,0.05832147937411095,0,0.036000000000000004,0.5,0.5
51003010602,4314,0.8537320352341214,0.0871580899397311,0.023180343069077423,0.03639313861845155,0.039174779786740846,0.06606397774687066,0.07185906351414001,0.04659248956884562,0.037783959202596196,0.16689847009735745,0.13421418636995827,0.10500695410292073,0.10222531293463143,0.04821511358368104,0.12100139082058414,0.04242002781641168,93458,0.03927986906710311,0.020185488270594652,0.054009819967266774,0.042007637752318604,0.09983633387888707,0.1331151118385161,0.15439170758319695,0.19912711402073105,0.1309328968903437,0.127114020731042,0.018518518518518517,0.013810420590081607,0.10922787193973635,0.1374764595103578,0.06277463904582549,0.3549905838041431,0.3032015065913371,0.9676710608913999,0.6581920903954802,0.9165,0.0835,0.023,0.076,0.640480087288598,0.35951991271140205
51003010700,6064,0.5857519788918206,0.27325197889182057,0.07156992084432717,0.09531662269129287,0.079155672823219,0.05672823218997362,0.032321899736147755,0.05821240105540897,0.08113456464379948,0.1932717678100264,0.11329155672823218,0.1137862796833773,0.0775065963060686,0.05920184696569921,0.06810686015831134,0.04287598944591029,58301,0.07862223886184949,0.019468363908648447,0.09809060277049794,0.0628977910894796,0.15649569449644327,0.22163983526769002,0.11980531636091352,0.1456383377012355,0.07862223886184949,0.018719580681392737,0.034293879495117884,0.08025720409621338,0.20862110026196715,0.24339128363896165,0.025005953798523457,0.21386044296261014,0.19457013574660634,0.8854489164086687,0.4084305787092165,0.9054237288135594,0.09457627118644067,0,0.033,0.33208536128790717,0.6679146387120929
51003010800,5721,0.7764376857192798,0.12847404299947562,0.06502359727320399,0.08722251354658277,0.053137563363048416,0.066596748820136345,0.03478412864883761,0.04544660024471246,0.042824680999825206,0.22565984967662997,0.14997378080755114,0.08652333508127949,0.04474742177940919,0.05680825030589058,0.07795839888131445,0.06082852648138437,66097,0.04712430426716141,0,0.12022263450834879,0.07532467532467532,0.15695732838589982,0.14359925788497216,0.1417439703153989,0.11910946196660482,0.11280148423005566,0.08311688311688312,0.04409048938134811,0.03901200369344414,0.07179132040627885,0.23084025854108955,0.05493998153277932,0.34048938134810713,0.2188365650969529,0.9168975069252078,0.5593259464450601,0.9182282793867121,0.0817717206132879,0,0.046,0.3721706864564007,0.6278293135435993
51003010901,1920,0.6567708333333333,0.021875,0.2708333333333333,0.04791666666666667,0.0234375,0.009375,0.004166666666666667,0.15989583333333332,0.14479166666666668,0.39166666666666666,0.06302083333333333,0.018229166666666668,0.024479166666666666,0.0265625,0.03125,0.0515625,41500,0.18785310734463276,0.03954802259887006,0.15112994350282485,0.08050847457627118,0.09463276836158192,0.1440677966101695,0.08757062146892655,0.0635593220338983,0.0692090395480226,0.08192090395480225,0.004746835443037975,0,0.028481012658227847,0.03164556962025317,0.022943037974683545,0.5545886075949367,0.3575949367088608,0.995253164556962,0.9121835443037974,0.8784119106699751,0.12158808933002481,0,0.077,0.21468926553672316,0.7853107344632768
